type,stat,AL,NL
tot,at,,
avg,at,,
avg,batting,,
tot,caught,,
avg,caught,,
tot,double,,
avg,double,,
tot,doubles,,
avg,doubles,,
tot,games,,
avg,games,,
tot,hit,,
avg,hit,,
tot,hits,,
avg,hits,,
tot,home,,
avg,home,,
tot,intentional,,
avg,intentional,,
avg,on,,
tot,plate,,
avg,plate,,
tot,runs,,
avg,runs,,
tot,sacrifice,,
avg,sacrifice,,
avg,slugging,,
tot,stolen,,
avg,stolen,,
tot,strikeouts,,
avg,strikeouts,,
tot,total,,
avg,total,,
tot,triples,,
avg,triples,,
tot,walks,,
avg,walks,,
tot,war,,
avg,war,,
