team,Games,Wins,Losses,Win_Pct,Runs_For,Runs_Against,Run_Diff
LAD,162,96,66,0.593,694,663,31
DET,162,90,72,0.556,557,530,27
NYM,162,89,73,0.549,663,567,96
PIT,162,89,73,0.549,572,535,37
BAL,162,89,73,0.549,588,584,4
PHI,162,88,74,0.543,662,635,27
KCR,162,88,74,0.543,572,591,-19
CHC,162,87,75,0.537,617,571,46
SFG,162,85,77,0.525,573,556,17
BOS,162,85,77,0.525,674,666,8
NYY,162,85,77,0.525,652,655,-3
MIN,162,85,77,0.525,516,560,-44
HOU,162,84,78,0.519,570,563,7
COL,162,84,78,0.519,574,605,-31
SEA,162,83,79,0.512,533,540,-7
CIN,162,81,81,0.5,601,572,29
ATL,162,81,81,0.5,562,538,24
ARI,162,81,81,0.5,626,645,-19
SDP,162,81,81,0.5,528,585,-57
TEX,162,80,82,0.494,572,560,12
STL,162,78,84,0.481,568,604,-36
TBR,162,77,85,0.475,541,530,11
TOR,162,76,86,0.469,572,563,9
CLE,162,75,87,0.463,584,590,-6
WSN,162,71,91,0.438,551,578,-27
MIA,162,71,91,0.438,534,617,-83
OAK,162,70,92,0.432,489,534,-45
MIL,162,69,93,0.426,541,559,-18
CHW,162,67,95,0.414,467,522,-55
LAA,162,65,97,0.401,524,548,-24
